the_geom,cartodb_id,id,geographic_area_name,total
,201,1500000US421010065002,"Block Group 2, Census Tract 65, Philadelphia County, Pennsylvania",670
,202,1500000US421010065003,"Block Group 3, Census Tract 65, Philadelphia County, Pennsylvania",802
,203,1500000US421010065004,"Block Group 4, Census Tract 65, Philadelphia County, Pennsylvania",757
,204,1500000US421010065005,"Block Group 5, Census Tract 65, Philadelphia County, Pennsylvania",672
,205,1500000US421010065006,"Block Group 6, Census Tract 65, Philadelphia County, Pennsylvania",1134
,206,1500000US421010066001,"Block Group 1, Census Tract 66, Philadelphia County, Pennsylvania",934
,207,1500000US421010066002,"Block Group 2, Census Tract 66, Philadelphia County, Pennsylvania",540
,208,1500000US421010066003,"Block Group 3, Census Tract 66, Philadelphia County, Pennsylvania",1037
,209,1500000US421010066004,"Block Group 4, Census Tract 66, Philadelphia County, Pennsylvania",1239
,210,1500000US421010067001,"Block Group 1, Census Tract 67, Philadelphia County, Pennsylvania",859
,211,1500000US421010067002,"Block Group 2, Census Tract 67, Philadelphia County, Pennsylvania",840
,212,1500000US421010067003,"Block Group 3, Census Tract 67, Philadelphia County, Pennsylvania",880
,213,1500000US421010067004,"Block Group 4, Census Tract 67, Philadelphia County, Pennsylvania",926
,214,1500000US421010067005,"Block Group 5, Census Tract 67, Philadelphia County, Pennsylvania",1696
,215,1500000US421010067006,"Block Group 6, Census Tract 67, Philadelphia County, Pennsylvania",964
,216,1500000US421010067007,"Block Group 7, Census Tract 67, Philadelphia County, Pennsylvania",1307
,217,1500000US421010069001,"Block Group 1, Census Tract 69, Philadelphia County, Pennsylvania",1212
,218,1500000US421010069002,"Block Group 2, Census Tract 69, Philadelphia County, Pennsylvania",678
,219,1500000US421010069003,"Block Group 3, Census Tract 69, Philadelphia County, Pennsylvania",649
,220,1500000US421010070001,"Block Group 1, Census Tract 70, Philadelphia County, Pennsylvania",923
,221,1500000US421010070002,"Block Group 2, Census Tract 70, Philadelphia County, Pennsylvania",699
,222,1500000US421010070003,"Block Group 3, Census Tract 70, Philadelphia County, Pennsylvania",901
,223,1500000US421010070004,"Block Group 4, Census Tract 70, Philadelphia County, Pennsylvania",693
,224,1500000US421010070005,"Block Group 5, Census Tract 70, Philadelphia County, Pennsylvania",774
,225,1500000US421010071011,"Block Group 1, Census Tract 71.01, Philadelphia County, Pennsylvania",817
,226,1500000US421010071012,"Block Group 2, Census Tract 71.01, Philadelphia County, Pennsylvania",958
,227,1500000US421010071013,"Block Group 3, Census Tract 71.01, Philadelphia County, Pennsylvania",782
,228,1500000US421010071021,"Block Group 1, Census Tract 71.02, Philadelphia County, Pennsylvania",1051
,229,1500000US421010071022,"Block Group 2, Census Tract 71.02, Philadelphia County, Pennsylvania",1195
,230,1500000US421010071023,"Block Group 3, Census Tract 71.02, Philadelphia County, Pennsylvania",1069
,231,1500000US421010071024,"Block Group 4, Census Tract 71.02, Philadelphia County, Pennsylvania",826
,232,1500000US421010071025,"Block Group 5, Census Tract 71.02, Philadelphia County, Pennsylvania",783
,233,1500000US421010072001,"Block Group 1, Census Tract 72, Philadelphia County, Pennsylvania",989
,234,1500000US421010072002,"Block Group 2, Census Tract 72, Philadelphia County, Pennsylvania",703
,235,1500000US421010072003,"Block Group 3, Census Tract 72, Philadelphia County, Pennsylvania",633
,236,1500000US421010072004,"Block Group 4, Census Tract 72, Philadelphia County, Pennsylvania",720
,237,1500000US421010072005,"Block Group 5, Census Tract 72, Philadelphia County, Pennsylvania",751
,238,1500000US421010072006,"Block Group 6, Census Tract 72, Philadelphia County, Pennsylvania",977
,239,1500000US421010073001,"Block Group 1, Census Tract 73, Philadelphia County, Pennsylvania",828
,240,1500000US421010073002,"Block Group 2, Census Tract 73, Philadelphia County, Pennsylvania",764
,241,1500000US421010073003,"Block Group 3, Census Tract 73, Philadelphia County, Pennsylvania",612
,242,1500000US421010073004,"Block Group 4, Census Tract 73, Philadelphia County, Pennsylvania",884
,243,1500000US421010074001,"Block Group 1, Census Tract 74, Philadelphia County, Pennsylvania",667
,244,1500000US421010074002,"Block Group 2, Census Tract 74, Philadelphia County, Pennsylvania",647
,245,1500000US421010074003,"Block Group 3, Census Tract 74, Philadelphia County, Pennsylvania",874
,246,1500000US421010074004,"Block Group 4, Census Tract 74, Philadelphia County, Pennsylvania",1425
,247,1500000US421010074005,"Block Group 5, Census Tract 74, Philadelphia County, Pennsylvania",725
,248,1500000US421010077001,"Block Group 1, Census Tract 77, Philadelphia County, Pennsylvania",1305
,249,1500000US421010077002,"Block Group 2, Census Tract 77, Philadelphia County, Pennsylvania",1075
,250,1500000US421010078001,"Block Group 1, Census Tract 78, Philadelphia County, Pennsylvania",974
,251,1500000US421010078002,"Block Group 2, Census Tract 78, Philadelphia County, Pennsylvania",499
,252,1500000US421010078003,"Block Group 3, Census Tract 78, Philadelphia County, Pennsylvania",737
,253,1500000US421010078004,"Block Group 4, Census Tract 78, Philadelphia County, Pennsylvania",862
,254,1500000US421010078005,"Block Group 5, Census Tract 78, Philadelphia County, Pennsylvania",1105
,255,1500000US421010079001,"Block Group 1, Census Tract 79, Philadelphia County, Pennsylvania",977
,256,1500000US421010079002,"Block Group 2, Census Tract 79, Philadelphia County, Pennsylvania",1336
